index	country	year	gdp	infrate	trade	schooling	invest60	invest70	invest80	industry	pop	deflator_fred
3	"Austria"	1975	6147	8.445255279541016	61.59815216064453	45.599998474121094				40.12813949584961	7579	
3	"Austria"	1976	6810	7.318688869476318	65.17086791992188					39.39789962768555	7566	
3	"Austria"	1977	7588	5.474999904632568	65.20968627929688					39.05883026123047	7568	
3	"Austria"	1978	8117	3.5790469646453857	64.74066925048828					39.23564910888672	7562	
3	"Austria"	1979	9288	3.7070939540863037	69.69871520996094					38.17720031738281	7549	
3	"Austria"	1980	10312	6.325389862060547	73.99585723876953	61.79999923706055	0.2633799910545349	0.3110400140285492	26.642000198364258	38.09646987915039	7549	
3	"Austria"	1981	11242	6.806861877441406	76.07967376708984					37.830848693847656	7564	
3	"Austria"	1982	12148	5.440413951873779	71.68455505371094					36.90459060668945	7571	
3	"Austria"	1983	13048	3.335381031036377	70.53411102294922					36.410430908203125	7552	
3	"Austria"	1984	13533	5.6648640632629395	75.5126953125					35.2359504699707	7553	
3	"Austria"	1985	14296	3.1896939277648926	79.06573486328125	60				35.58243942260742	7558	
3	"Austria"	1986	14921	1.7009210586547852	70.92528533935547					35.29153060913086	7566	
3	"Austria"	1987	15549	1.399999976158142	69.63399505615234					34.791961669921875	7576	
3	"Austria"	1988	16595	1.9312950372695923	74.93547058105469					34.58338928222656	7596	
3	"Austria"	1989	17768	2.5638959407806396	78.90684509277344					34.1114501953125	7624	
3	"Austria"	1990	19070	3.262321949005127	79.0296630859375	57.900001525878906				34.110530853271484	7718	
3	"Austria"	1991	20172	3.33434796333313	78.76909637451172					33.98060989379883	7823	
3	"Austria"	1992	20960	4.029763221740723	76.0029067993164					33.03324890136719	7884	
3	"Austria"	1993	21220	3.6258060932159424	73.35832977294922					32.18622970581055	7993	
3	"Austria"	1994	22139	2.9590649604797363	75.14964294433594					32.13827896118164	8031	
3	"Austria"	1995	22976	2.2500998973846436	77.78494262695312	55.70000076293945				32.449649810791016	8047	
3	"Austria"	1996	24008	1.8435570001602173	80.7439193725586					32.29561996459961	8059	
3	"Austria"	1997	24472	1.3250000476837158	85.25792694091797					32.72697830200195	8072	
3	"Austria"	1998	25314	0.9046797156333923						32.84259033203125	8078	
3	"Austria"	1999	26558	0.5623930096626282						32.900028228759766	8092	
3	"Austria"	2000	28359	2.350461959838867		55				32.77484893798828	8110	
3	"Austria"	2001	28855	2.6599619388580322						32.16859817504883	8132	
3	"Austria"	2002	29942	1.8102120161056519						31.984779357910156	8084	
3	"Austria"	2003	30796	1.3634190559387207						31.73712921142578	8118	
4	"Belgium"	1960	1782		77.34178161621094	27.100000381469727					9154	
4	"Belgium"	1961	1883	0.983146071434021	80.01627349853516						9184	
4	"Belgium"	1962	2018	1.4047290086746216	82.43775939941406						9221	
4	"Belgium"	1963	2122	2.1533401012420654	85.66539001464844						9290	
4	"Belgium"	1964	2288	4.1756181716918945	86.62045288085938						9378	
4	"Belgium"	1965	2414	4.059802055358887	85.26190948486328	28.5					9464	
4	"Belgium"	1966	2559	4.173892021179199	89.37012481689453						9528	
4	"Belgium"	1967	2719	2.9128520488739014	86.2396469116211						9581	
4	"Belgium"	1968	2958	2.703326940536499	90.62301635742188						9619	
4	"Belgium"	1969	3308	3.745781898498535	97.94963836669922						9646	
4	"Belgium"	1970	3797	3.914128065109253	100.42813110351562	28.700000762939453					9656	
4	"Belgium"	1971	4129	4.3405680656433105	97.97509765625					42.50226974487305	9673	
4	"Belgium"	1972	4512	5.447500228881836	97.54891967773438					41.944149017333984	9711	
4	"Belgium"	1973	5039	6.955277919769287	107.77507019042969					42.51509094238281	9742	
4	"Belgium"	1974	5707	12.677889823913574	120.51753234863281					43.29301071166992	9772	
4	"Belgium"	1975	6146	12.768199920654297	104.77954864501953	30.299999237060547				40.01700973510742	9801	
4	"Belgium"	1976	6854	9.158699989318848	110.83810424804688					40.133949279785156	9818	
4	"Belgium"	1977	7326	7.1108479499816895	109.53759765625					39.49528121948242	9830	
4	"Belgium"	1978	8056	4.470594882965088	105.68562316894531					38.4570198059082	9840	
4	"Belgium"	1979	8921	4.469083786010742	116.28984832763672					38.2092399597168	9848	
4	"Belgium"	1980	10156	6.650975227355957	117.16876220703125	31.600000381469727	0.26864001154899597	0.2824600040912628	21.875999450683594	36.84375	9859	
4	"Belgium"	1981	11079	7.628273963928223	126.35263061523438					34.465171813964844	9859	
4	"Belgium"	1982	11827	8.725851058959961	134.4236602783203					34.40620040893555	9856	
4	"Belgium"	1983	12334	7.663370132446289	137.1891326904297					34.14059066772461	9856	
4	"Belgium"	1984	13113	6.347517013549805	146.64285278320312					33.48085021972656	9855	
4	"Belgium"	1985	13735	4.86767578125	140.5551300048828	32.599998474121094				34.2135009765625	9858	
4	"Belgium"	1986	14292	1.2955009937286377	126.7110366821289					33.229148864746094	9862	
4	"Belgium"	1987	15013	1.5544830560684204	122.64662170410156					32.10179901123047	9870	
4	"Belgium"	1988	16209	1.1620509624481201	129.2056121826172					32.880889892578125	9902	
4	"Belgium"	1989	17345	3.105449914932251	138.38467407226562					33.22943115234375	9938	
4	"Belgium"	1990	18526	3.4528229236602783	134.00657653808594	32.599998474121094				32.66429901123047	9967	
4	"Belgium"	1991	19453	3.2085518836975098	130.82640075683594					30.661619186401367	10005	
4	"Belgium"	1992	20123	2.4299139976501465	126.43596649169922					30.110929489135742	10045	
4	"Belgium"	1993	20308	2.753962993621826	120.23799133300781					28.99867057800293	10085	
4	"Belgium"	1994	21340	2.3777990341186523	125.53787994384766					28.92363929748535	10116	
4	"Belgium"	1995	22248	1.4668140411376953	129.3606719970703	30.5				29.5344295501709	10137	
4	"Belgium"	1996	22687	2.0589189529418945	131.8749542236328					29.14130973815918	10157	
4	"Belgium"	1997	23416	1.6274590492248535	141.3143768310547					29.257810592651367	10181	
4	"Belgium"	1998	24164	0.953622579574585	149.68240356445312					28.639530181884766	10203	
4	"Belgium"	1999	24792	1.1192419528961182						27.953920364379883	10226	
4	"Belgium"	2000	26631	2.54624605178833		28				28.089519500732422	10251	
4	"Belgium"	2001	28001	2.4712729454040527						27.25737953186035	10287	
4	"Belgium"	2002	29330	1.6434539556503296						27.01091957092285	10333	
4	"Belgium"	2003	30082	1.591312050819397						26.484779357910156	10376	
5	"Denmark"	1960	2329		65.78219604492188	46.099998474121094					4581	
5	"Denmark"	1961	2485	3.4516289234161377	61.540672302246094						4612	
5	"Denmark"	1962	2665	7.377820014953613	60.337379455566406						4648	
5	"Denmark"	1963	2700	6.105032920837402	60.41604232788086						4685	
5	"Denmark"	1964	2980	3.092782974243164	61.6781005859375						4722	
5	"Denmark"	1965	3177	5.449999809265137	61.38874053955078	45.5					4760	
5	"Denmark"	1966	3377	7.06496000289917	59.87274169921875						4800	
5	"Denmark"	1967	3580	8.207853317260742	57.85472869873047						4838	
5	"Denmark"	1968	3892	7.953615188598633	57.8798942565918						4866	
5	"Denmark"	1969	4352	3.4879310131073	58.468326568603516						4892	
5	"Denmark"	1970	4541	6.51483678817749	60.321807861328125	44.5					4929	
5	"Denmark"	1971	4858	5.869876861572266	58.494747161865234					31.78034019470215	4963	
5	"Denmark"	1972	5262	6.562347888946533	54.942623138427734					31.531469345092773	4992	
5	"Denmark"	1973	5719	9.303388595581055	60.46510314941406					30.284730911254883	5022	
5	"Denmark"	1974	6121	15.275199890136719	68.13898468017578					29.587039947509766	5045	
5	"Denmark"	1975	6565	9.605613708496094	62.6506462097168	44.900001525878906				29.250560760498047	5060	
5	"Denmark"	1976	7371	9	63.94929504394531					28.24987030029297	5073	
5	"Denmark"	1977	7901	11.139140129089355	62.842952728271484					28.022029876708984	5088	
5	"Denmark"	1978	8585	10.008939743041992	59.208858489990234					27.56307029724121	5104	
5	"Denmark"	1979	9566	9.611055374145508	62.885948181152344					26.880640029907227	5117	
5	"Denmark"	1980	10362	12.305319786071777	68.16064453125	43.400001525878906	0.2934400141239166	0.3328399956226349	22.217998504638672	28.23314094543457	5123	
5	"Denmark"	1981	11106	11.791589736938477	74.18737030029297					26.57710075378418	5122	
5	"Denmark"	1982	12115	10.089940071105957	74.13429260253906					26.75724983215332	5118	
5	"Denmark"	1983	12822	6.907309055328369	72.48873138427734					26.98975944519043	5114	
5	"Denmark"	1984	13777	6.322079181671143	73.97858428955078					27.29058074951172	5112	
5	"Denmark"	1985	14698	4.652379035949707	74.85047149658203	42.5				27.620630264282227	5114	
5	"Denmark"	1986	15608	3.7212789058685303	66.16890716552734					28.24608039855957	5121	
5	"Denmark"	1987	16024	3.9850709438323975	62.58148193359375					27.918020248413086	5127	
5	"Denmark"	1988	16766	4.5501909255981445	63.53234100341797					27.086090087890625	5130	
5	"Denmark"	1989	17418	4.784052848815918	67.06668853759766					27.020679473876953	5133	
5	"Denmark"	1990	18237	2.6527159214019775	66.58467864990234	49.900001525878906				26.54429054260254	5141	
5	"Denmark"	1991	19070	2.367959976196289	68.53211212158203					26.169559478759766	5154	
5	"Denmark"	1992	19829	2.1019809246063232	66.43089294433594					26.345340728759766	5171	
5	"Denmark"	1993	20199	1.250985026359558	63.97608947753906					25.190120697021484	5189	
5	"Denmark"	1994	21691	1.9943569898605347	65.6126708984375					25.311540603637695	5206	
5	"Denmark"	1995	22693	2.098436117172241	66.71785736083984	47				25.757509231567383	5233	
5	"Denmark"	1996	23781	2.1113600730895996	66.07380676269531					25.951129913330078	5263	
5	"Denmark"	1997	24878	2.195791006088257	68.58706665039062					26.045150756835938	5285	
5	"Denmark"	1998	25669	1.8531780242919922						26.000640869140625	5304	
5	"Denmark"	1999	27113	2.478684902191162						26.222299575805664	5322	
5	"Denmark"	2000	28798	2.924778938293457		46.5				27.18490982055664	5340	
5	"Denmark"	2001	29837	2.3499999046325684						26.28203010559082	5359	
5	"Denmark"	2002	30318	2.4263150691986084						26.40066909790039	5374	
5	"Denmark"	2003	30853	2.0906200408935547						26.4053897857666	5387	
6	"France"	1960	1858		26.91962242126465	25.700000762939453					45684	
6	"France"	1961	1959	2.4145619869232178	26.211549758911133						46163	
6	"France"	1962	2099	5.247250080108643	24.8985595703125						46998	
6	"France"	1963	2205	4.939690113067627	25.005908966064453						47816	
6	"France"	1964	2367	3.2293379306793213	25.622961044311523						48310	
6	"France"	1965	2526	2.714740037918091	25.74950408935547	25.799999237060547					48758	
6	"France"	1966	2728	2.570720911026001	26.475940704345703						49164	
6	"France"	1967	2915	2.818319082260132	26.188457489013672						49548	
6	"France"	1968	3163	4.552128791809082	26.571319580078125						49916	
6	"France"	1969	3531	6.039326190948486	28.739580154418945						50318	
6	"France"	1970	3857	5.845475196838379	31.085830688476562	26					50772	
6	"France"	1971	4203	5.3975138664245605	31.760961532592773					38.649269104003906	51251	
6	"France"	1972	4535	6.063004016876221	32.39191818237305					38.697898864746094	51701	
6	"France"	1973	5008	7.380597114562988	34.27933883666992					37.940670013427734	52119	
6	"France"	1974	5594	13.649319648742676	42.39096450805664					37.56776809692383	52461	
6	"France"	1975	6077	11.685930252075195	36.92750549316406	26.799999237060547				37.66209030151367	52699	
6	"France"	1976	6673	9.625493049621582	39.892372131347656					37.49076843261719	52909	
6	"France"	1977	7292	9.494556427001953	40.8498649597168					36.881019592285156	53145	
6	"France"	1978	8031	9.250558853149414	39.488529205322266					36.23006057739258	53376	
6	"France"	1979	8948	10.646739959716797	41.879051208496094					35.840728759765625	53606	
6	"France"	1980	9891	13.53911018371582	44.269317626953125	34.5	0.2780599892139435	0.3287000060081482	27.236000061035156	36.03030014038086	53880	
6	"France"	1981	10929	13.333330154418945	46.1019401550293					35.17298889160156	54182	
6	"France"	1982	11869	11.978480339050293	45.501304626464844					34.09864044189453	54483	
6	"France"	1983	12518	9.459547996520996	45.127838134765625					33.51457977294922	54772	
6	"France"	1984	13145	7.673802852630615	47.646427154541016					33.121158599853516	55026	
6	"France"	1985	13746	5.831099033355713	47.159175872802734	36.29999923706055				32.78712844848633	55284	
6	"France"	1986	14308	2.538527011871338	41.34467315673828					31.8039493560791	55547	
6	"France"	1987	14940	3.28889799118042	41.144371032714844					30.9401798248291	55824	
6	"France"	1988	16040	2.700817108154297	42.52645492553711					30.74394989013672	56118	
6	"France"	1989	17193	3.4983019828796387	45.68644332885742					30.221960067749023	56423	
6	"France"	1990	18244	3.3800570964813232	45.13056945800781	36.900001525878906				29.699979782104492	56709	
6	"France"	1991	19021	3.2169349193573	45.04747009277344					29.520160675048828	56976	
6	"France"	1992	19746	2.36576509475708	44.026119232177734					29.157129287719727	57240	
6	"France"	1993	19920	2.1060099601745605	41.841209411621094					27.451250076293945	57467	
6	"France"	1994	20695	1.6608730554580688	43.4013786315918					27.180950164794922	57659	
6	"France"	1995	21545	1.77811598777771	44.691410064697266	37.29999923706055				27.27589988708496	57844	
6	"France"	1996	22288	2.008362054824829	45.604461669921875					26.606609344482422	58026	
6	"France"	1997	23370	1.2003220319747925	49.36040115356445					26.041229248046875	58208	
6	"France"	1998	24412	0.6725971102714539						25.945640563964844	58398	
6	"France"	1999	25111	0.5						25.492639541625977	58647	
6	"France"	2000	26690	1.6915420293807983		37.29999923706055				25.481189727783203	58970	
6	"France"	2001	28043	1.663404941558838						25.501699447631836	59322	
6	"France"	2002	28829	1.9249279499053955						25.308120727539062	59678	
6	"France"	2003	29210	2.101038932800293						24.473569869995117	60028	
7	"West Germany"	1960	2284		35.45968246459961	61				44.98724365234375	55585	
7	"West Germany"	1961	2388	2.51572322845459	33.83678436279297						56175	
7	"West Germany"	1962	2527	2.7607362270355225	33.46637725830078						56837	
7	"West Germany"	1963	2610	2.985074520111084	34.16062927246094						57389	
7	"West Germany"	1964	2806	2.318840503692627	34.566139221191406						57971	
7	"West Germany"	1965	3005	3.3994333744049072	35.81679916381836	58.900001525878906					58619	
7	"West Germany"	1966	3168	3.5616438388824463	36.62822723388672						59148	
7	"West Germany"	1967	3241	1.5873016119003296	37.226661682128906						59286	
7	"West Germany"	1968	3571	1.0416666269302368	39.09016036987305						59500	
7	"West Germany"	1969	3998	2.0618555545806885	40.57123565673828						60067	
7	"West Germany"	1970	4367	3.2828283309936523	40.31837844848633	57				38.21701431274414	60651	
7	"West Germany"	1971	4686	5.134474277496338	39.73991394042969					48.001258850097656	61302	
7	"West Germany"	1972	5055	5.348837375640869	39.230003356933594					46.94689178466797	61672	
7	"West Germany"	1973	5553	6.84326696395874	40.75988006591797					46.534358978271484	61976	
7	"West Germany"	1974	6074	6.818181991577148	48.3936882019043					45.70886993408203	62054	
7	"West Germany"	1975	6603	5.996131420135498	46.457828521728516	46.79999923706055				43.37009048461914	61829	
7	"West Germany"	1976	7367	4.379561901092529	49.10308074951172					43.613609313964844	61531	
7	"West Germany"	1977	8090	3.4965035915374756	48.56478500366211					43.166019439697266	61400	
7	"West Germany"	1978	8928	2.5337836742401123	47.07179260253906					42.96508026123047	61327	
7	"West Germany"	1979	10067	3.7891268730163574	49.48575210571289					43.080989837646484	61359	
7	"West Germany"	1980	11083	5.238095283508301	53.336185455322266	52.5	0.33737999200820923	0.3256399929523468	27.01799774169922	36.042030334472656	61566	
7	"West Germany"	1981	12115	6.334841728210449	56.67341995239258					35.42348861694336	61682	
7	"West Germany"	1982	12761	5.390070915222168	57.34183883666992					34.778472900390625	61638	
7	"West Germany"	1983	13519	3.2301480770111084	55.48263931274414					35.08514404296875	61423	
7	"West Germany"	1984	14481	2.3468058109283447	58.791812896728516					34.51585006713867	61175	
7	"West Germany"	1985	15291	2.0382165908813477	61.519432067871094	58.5				34.85138702392578	61024	
7	"West Germany"	1986	15998	-0.24968789517879486	55.11741256713867					34.36679458618164	61066	
7	"West Germany"	1987	16679	0.1251564472913742	52.91487503051758					34.090187072753906	61077	
7	"West Germany"	1988	17786	1.125	53.910343170166016					33.772335052490234	61450	
7	"West Germany"	1989	18994	2.8430161476135254	57.664852142333984					33.962730407714844	62063	
7	"West Germany"	1990	20465	2.764423131942749	58.36149978637695	56.20000076293945					63254	
7	"West Germany"	1991	21602	3.742690086364746							79984	
7	"West Germany"	1992	22154	4.058624744415283							80595	
7	"West Germany"	1993	21878	3.683640241622925							81179	
7	"West Germany"	1994	22371	2.821316719055176							81422	
7	"West Germany"	1995	23035	1.6260162591934204							81661	
7	"West Germany"	1996	23742	1.2999999523162842							81895	
7	"West Germany"	1997	24156	1.776900291442871							82052	
7	"West Germany"	1998	24931	0.872938871383667							82029	
7	"West Germany"	1999	25755	0.6730769276618958							82024	
7	"West Germany"	2000	26943								82160	
7	"West Germany"	2001	27449								82277	
7	"West Germany"	2002	28348								82456	
7	"West Germany"	2003	28855								82502	
8	"Italy"	1960	1620		26.573429107666016	13.899999618530273					48967	
8	"Italy"	1961	1763	2.7027029991149902	26.883281707763672						49156	
8	"Italy"	1962	1900	3.9473679065704346	27.117237091064453						49563	
8	"Italy"	1963	2021	7.594936847686768	27.785470962524414						49936	
8	"Italy"	1964	2093	5.882352828979492	26.755199432373047						50439	
8	"Italy"	1965	2205	4.4444451332092285	27.67775535583496	14.100000381469727					50840	
8	"Italy"	1966	2400	3.1914889812469482	29.03005599975586						51227	
8	"Italy"	1967	2624	3.092782974243164	29.300256729125977						51664	
8	"Italy"	1968	2910	2	29.876672744750977						52042	
8	"Italy"	1969	3227	1.9607839584350586	31.844768524169922						52376	
8	"Italy"	1970	3602	4.807693004608154	32.85418701171875	17.5					52771	
8	"Italy"	1971	3834	5.504587173461914	33.22465896606445					40.385379791259766	53124	
8	"Italy"	1972	4101	5.217391014099121	34.73353958129883					39.514869689941406	53499	
8	"Italy"	1973	4594	10.743800163269043	36.74185562133789					40.68503952026367	53882	
8	"Italy"	1974	5240	19.40298080444336	44.55847930908203					42.32258987426758	54390	
8	"Italy"	1975	5601	16.875	41.324771881103516	18.600000381469727				41.313690185546875	54764	
8	"Italy"	1976	6288	16.577539443969727	45.42570114135742					42.21162033081055	55070	
8	"Italy"	1977	6821	17.431190490722656	45.85133361816406					41.67761993408203	55266	
8	"Italy"	1978	7542	12.109379768371582	45.114742279052734					41.04507064819336	55446	
8	"Italy"	1979	8594	14.634149551391602	47.70630645751953					40.67570877075195	55602	
8	"Italy"	1980	9643	21.276599884033203	46.654396057128906	29.200000762939453	0.3727799952030182	0.3245199918746948	26.72800064086914	40.37955856323242	55657	
8	"Italy"	1981	10593	17.794490814208984	48.836246490478516					39.03865051269531	55774	
8	"Italy"	1982	11275	16.382980346679688	47.11219787597656					38.13298034667969	55995	
8	"Italy"	1983	11812	14.625229835510254	43.48411560058594					36.95853042602539	56228	
8	"Italy"	1984	12543	10.845290184020996	45.80588912963867					36.528419494628906	56344	
8	"Italy"	1985	13285	9.208633422851562	46.10847473144531	30.299999237060547				36.09994125366211	56498	
8	"Italy"	1986	13896	5.797101020812988	38.9410285949707					34.89699935913086	56576	
8	"Italy"	1987	14688	4.7322540283203125	38.36825180053711					34.57809829711914	56664	
8	"Italy"	1988	15784	5.1129608154296875	37.962684631347656					34.441070556640625	56763	
8	"Italy"	1989	16875	6.221718788146973	40.16733932495117					34.55434036254883	56837	
8	"Italy"	1990	17946	6.496273040771484	40.04520034790039	31.5				33.89799880981445	56737	
8	"Italy"	1991	18845	6.300000190734863	37.98858642578125					32.91080093383789	56760	
8	"Italy"	1992	19367	5.079961776733398	39.34540557861328					32.38869094848633	56859	
8	"Italy"	1993	19778	4.47627592086792	42.43131637573242					31.354249954223633	56442	
